month,dow,hour,exit,승차인원,하차인원
09,SUN,16,2,11.599364069952301,29.28912105382693
09,SUN,16,3,7.385532591414918,18.648932545991304
09,SUN,16,4,2.7639109697932907,6.9790483761071185
09,SUN,16,5,0.0,0.0
09,SUN,16,6,0.0,0.0
09,SUN,16,7,3.896661367249602,9.839314104019985
09,SUN,16,8,2.990461049284569,7.551101521689732
09,SUN,16,9,3.398251192368814,8.580797183738294
09,SUN,16,9-1,31.399841017488054,79.28656597774238
09,SUN,17,1,17.744075451647145,47.04721041445261
09,SUN,17,10,22.147396386822507,58.72231668437826
09,SUN,17,11,18.049256110520698,47.8563761955366
09,SUN,17,12,125.9960148777896,334.0698724760893
09,SUN,17,13,41.2865834218916,109.46857066950052
09,SUN,17,14,82.74755579171094,219.3995217853347
09,SUN,17,15,34.18023379383634,90.62656748140273
09,SUN,17,2,11.771253985122186,31.210680127523847
09,SUN,17,3,6.844766206163625,18.148432518597158
09,SUN,17,4,3.618570669500522,9.594394261423993
09,SUN,17,5,1.0463336875663982,2.774282678002071
09,SUN,17,6,0.0,0.0
09,SUN,17,7,5.9292242295430055,15.72093517534529
09,SUN,17,8,2.049070138150884,5.432970244420778
09,SUN,17,9,2.4414452709883037,6.473326248671609
09,SUN,17,9-1,34.398219978745985,91.20454303931979
09,SUN,18,1,15.464520848573496,42.914045354791455
09,SUN,18,10,26.98610095098754,74.88643013899043
09,SUN,18,11,19.356254572055562,53.71360643745419
09,SUN,18,12,119.92684711046086,332.79700073152884
09,SUN,18,13,50.3877103145574,139.8258961228968
09,SUN,18,14,86.18141916605705,239.15343818580834
09,SUN,18,15,38.35405998536939,106.43251645940006
09,SUN,18,2,11.060716898317464,30.693489392830962
09,SUN,18,3,8.039502560351092,22.309619604974284
09,SUN,18,4,2.048280907095822,5.683979517190906
09,SUN,18,5,0.614484272128734,1.7051938551572368
09,SUN,18,6,0.0,0.0
09,SUN,18,7,4.096561814191644,11.367959034381812
09,SUN,18,8,2.560351133869788,7.104974396488662
09,SUN,18,9,3.4308705193854836,9.520665691294717
09,SUN,18,9-1,31.492318946598385,87.39118507681052
09,SUN,19,1,21.81257879254796,60.24653312788901
09,SUN,19,10,26.752486342625012,73.89060092449921
09,SUN,19,11,20.01624877433812,55.285053929121666
09,SUN,19,12,131.90194705140775,364.3143297380585
09,SUN,19,13,51.7727973105477,142.9969183359014
09,SUN,19,14,98.3490684969884,271.6409861325116
09,SUN,19,15,37.2096932343465,102.77349768875182
09,SUN,19,2,13.793248354111208,38.09707241910628
09,SUN,19,3,7.63440257739176,21.086286594761084
09,SUN,19,4,2.5020310967922597,6.910631741140193
09,SUN,19,5,0.0,0.0
09,SUN,19,6,0.38492786104494536,1.0631741140215194
09,SUN,19,7,4.554979689032059,12.580893682588549
09,SUN,19,8,3.0794228883597006,8.505392912172535
09,SUN,19,9,3.271886818882196,9.03697996918336
09,SUN,19,9-1,34.96428071158426,96.57164869029276
09,SUN,20,1,16.573627085695755,48.11453102219337
09,SUN,20,10,22.0775554835574,64.0928640855337
09,SUN,20,11,17.315729791025408,50.26891300826171
09,SUN,20,12,112.98513688644096,328.0046573789082
09,SUN,20,13,41.06301636157461,119.2091365624494
09,SUN,20,14,81.75498137048437,237.34108213186457
09,SUN,20,15,32.590677142394284,94.61327555483555
